"level";"id";"parent_id";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"from.name";"from.id";"created_time";"comments";"reactions";"shares";"comment_likes";"comment_comments"
"0";"107";"None";"aljazeera";"seed";"";"";"None";"None";"";"";"";"";"";"";"";""
"1";"108";"107";"7382473689_10160611919253690";"data";"data.*";"fetched (200)";"2022-02-22 00:50:53.083765";"Facebook:/<page-id>/posts";"Al Jazeera English";"7382473689";"2022-02-21T23:30:11+0000";"6";"43";"4";"";""
"1";"109";"107";"7382473689_10160611872573690";"data";"data.*";"fetched (200)";"2022-02-22 00:50:53.083765";"Facebook:/<page-id>/posts";"Al Jazeera English";"7382473689";"2022-02-21T23:00:36+0000";"18";"100";"18";"";""
"1";"110";"107";"7382473689_10160611871913690";"data";"data.*";"fetched (200)";"2022-02-22 00:50:53.083765";"Facebook:/<page-id>/posts";"Al Jazeera English";"7382473689";"2022-02-21T23:00:08+0000";"6";"34";"";"";""
"1";"111";"107";"7382473689_10160611823858690";"data";"data.*";"fetched (200)";"2022-02-22 00:50:53.083765";"Facebook:/<page-id>/posts";"Al Jazeera English";"7382473689";"2022-02-21T22:30:22+0000";"73";"177";"12";"";""
"1";"112";"107";"7382473689_10160611769143690";"data";"data.*";"fetched (200)";"2022-02-22 00:50:53.083765";"Facebook:/<page-id>/posts";"Al Jazeera English";"7382473689";"2022-02-21T22:00:38+0000";"41";"203";"20";"";""
"1";"113";"107";"7382473689_10160611719583690";"data";"data.*";"fetched (200)";"2022-02-22 00:50:53.083765";"Facebook:/<page-id>/posts";"Al Jazeera English";"7382473689";"2022-02-21T21:30:26+0000";"93";"443";"35";"";""
"1";"114";"107";"7382473689_10160611645693690";"data";"data.*";"fetched (200)";"2022-02-22 00:50:53.083765";"Facebook:/<page-id>/posts";"Al Jazeera English";"7382473689";"2022-02-21T20:45:08+0000";"19";"325";"20";"";""
"1";"115";"107";"7382473689_10160611621718690";"data";"data.*";"fetched (200)";"2022-02-22 00:50:53.083765";"Facebook:/<page-id>/posts";"Al Jazeera English";"7382473689";"2022-02-21T20:31:24+0000";"163";"962";"178";"";""
"1";"116";"107";"7382473689_10160611595463690";"data";"data.*";"fetched (200)";"2022-02-22 00:50:53.083765";"Facebook:/<page-id>/posts";"Al Jazeera English";"7382473689";"2022-02-21T20:15:07+0000";"31";"128";"6";"";""
"1";"117";"107";"7382473689_10160611570768690";"data";"data.*";"fetched (200)";"2022-02-22 00:50:53.083765";"Facebook:/<page-id>/posts";"Al Jazeera English";"7382473689";"2022-02-21T20:00:08+0000";"8";"82";"4";"";""
"1";"118";"107";"7382473689_10160611547228690";"data";"data.*";"fetched (200)";"2022-02-22 00:50:53.083765";"Facebook:/<page-id>/posts";"Al Jazeera English";"7382473689";"2022-02-21T19:45:08+0000";"109";"475";"30";"";""
"1";"119";"107";"7382473689_10160611523333690";"data";"data.*";"fetched (200)";"2022-02-22 00:50:53.083765";"Facebook:/<page-id>/posts";"Al Jazeera English";"7382473689";"2022-02-21T19:30:10+0000";"153";"817";"43";"";""
"1";"120";"107";"7382473689_10160611497803690";"data";"data.*";"fetched (200)";"2022-02-22 00:50:53.083765";"Facebook:/<page-id>/posts";"Al Jazeera English";"7382473689";"2022-02-21T19:15:07+0000";"116";"615";"89";"";""
"1";"121";"107";"7382473689_10160611476263690";"data";"data.*";"fetched (200)";"2022-02-22 00:50:53.083765";"Facebook:/<page-id>/posts";"Al Jazeera English";"7382473689";"2022-02-21T19:00:52+0000";"488";"3108";"259";"";""
"1";"122";"107";"7382473689_10160611451853690";"data";"data.*";"fetched (200)";"2022-02-22 00:50:53.083765";"Facebook:/<page-id>/posts";"Al Jazeera English";"7382473689";"2022-02-21T18:45:04+0000";"24";"442";"26";"";""
"1";"123";"107";"7382473689_10160611403733690";"data";"data.*";"fetched (200)";"2022-02-22 00:50:53.083765";"Facebook:/<page-id>/posts";"Al Jazeera English";"7382473689";"2022-02-21T18:15:08+0000";"62";"467";"19";"";""
"1";"124";"107";"7382473689_10160611140183690";"data";"data.*";"fetched (200)";"2022-02-22 00:50:53.083765";"Facebook:/<page-id>/posts";"Al Jazeera English";"7382473689";"2022-02-21T17:45:12+0000";"16";"190";"38";"";""
"1";"125";"107";"7382473689_10160611333128690";"data";"data.*";"fetched (200)";"2022-02-22 00:50:53.083765";"Facebook:/<page-id>/posts";"Al Jazeera English";"7382473689";"2022-02-21T17:30:09+0000";"9";"249";"10";"";""
"1";"126";"107";"7382473689_10160611284913690";"data";"data.*";"fetched (200)";"2022-02-22 00:50:53.083765";"Facebook:/<page-id>/posts";"Al Jazeera English";"7382473689";"2022-02-21T17:00:21+0000";"13";"240";"33";"";""
"1";"127";"107";"7382473689_10160611127083690";"data";"data.*";"fetched (200)";"2022-02-22 00:50:53.083765";"Facebook:/<page-id>/posts";"Al Jazeera English";"7382473689";"2022-02-21T16:30:01+0000";"24";"350";"34";"";""
"1";"128";"107";"aljazeera";"offcut";"";"fetched (200)";"2022-02-22 00:50:53.083765";"Facebook:/<page-id>/posts";"";"";"";"";"";"";"";""
"1";"129";"107";"7382473689_10160611197718690";"data";"data.*";"fetched (200)";"2022-02-22 00:50:53.507765";"Facebook:/<page-id>/posts";"Al Jazeera English";"7382473689";"2022-02-21T16:00:20+0000";"95";"513";"22";"";""
"1";"130";"107";"7382473689_10160611180198690";"data";"data.*";"fetched (200)";"2022-02-22 00:50:53.507765";"Facebook:/<page-id>/posts";"Al Jazeera English";"7382473689";"2022-02-21T15:45:06+0000";"36";"255";"30";"";""
"1";"131";"107";"7382473689_10160611160123690";"data";"data.*";"fetched (200)";"2022-02-22 00:50:53.507765";"Facebook:/<page-id>/posts";"Al Jazeera English";"7382473689";"2022-02-21T15:31:55+0000";"8";"324";"64";"";""
"1";"132";"107";"7382473689_10160611085073690";"data";"data.*";"fetched (200)";"2022-02-22 00:50:53.507765";"Facebook:/<page-id>/posts";"Al Jazeera English";"7382473689";"2022-02-21T14:30:14+0000";"41";"321";"22";"";""
"1";"133";"107";"7382473689_10160610990163690";"data";"data.*";"fetched (200)";"2022-02-22 00:50:53.507765";"Facebook:/<page-id>/posts";"Al Jazeera English";"7382473689";"2022-02-21T14:00:13+0000";"262";"2648";"373";"";""
"1";"134";"107";"7382473689_10160610988188690";"data";"data.*";"fetched (200)";"2022-02-22 00:50:53.507765";"Facebook:/<page-id>/posts";"Al Jazeera English";"7382473689";"2022-02-21T13:15:08+0000";"57";"701";"57";"";""
"1";"135";"107";"7382473689_10160610967763690";"data";"data.*";"fetched (200)";"2022-02-22 00:50:53.507765";"Facebook:/<page-id>/posts";"Al Jazeera English";"7382473689";"2022-02-21T13:02:34+0000";"109";"1420";"699";"";""
"1";"136";"107";"7382473689_10160610964978690";"data";"data.*";"fetched (200)";"2022-02-22 00:50:53.507765";"Facebook:/<page-id>/posts";"Al Jazeera English";"7382473689";"2022-02-21T12:55:54+0000";"80";"357";"18";"";""
"1";"137";"107";"7382473689_10160610962468690";"data";"data.*";"fetched (200)";"2022-02-22 00:50:53.507765";"Facebook:/<page-id>/posts";"Al Jazeera English";"7382473689";"2022-02-21T12:54:13+0000";"73";"735";"31";"";""
"1";"138";"107";"7382473689_10160610927483690";"data";"data.*";"fetched (200)";"2022-02-22 00:50:53.507765";"Facebook:/<page-id>/posts";"Al Jazeera English";"7382473689";"2022-02-21T12:27:02+0000";"112";"1614";"108";"";""
"1";"139";"107";"7382473689_10160610925703690";"data";"data.*";"fetched (200)";"2022-02-22 00:50:53.507765";"Facebook:/<page-id>/posts";"Al Jazeera English";"7382473689";"2022-02-21T12:25:44+0000";"58";"408";"20";"";""
"1";"140";"107";"7382473689_10160610739108690";"data";"data.*";"fetched (200)";"2022-02-22 00:50:53.507765";"Facebook:/<page-id>/posts";"Al Jazeera English";"7382473689";"2022-02-21T11:00:04+0000";"18";"343";"47";"";""
"1";"141";"107";"7382473689_10160610819653690";"data";"data.*";"fetched (200)";"2022-02-22 00:50:53.507765";"Facebook:/<page-id>/posts";"Al Jazeera English";"7382473689";"2022-02-21T10:51:04+0000";"32";"300";"11";"";""
"1";"142";"107";"7382473689_10160610814713690";"data";"data.*";"fetched (200)";"2022-02-22 00:50:53.507765";"Facebook:/<page-id>/posts";"Al Jazeera English";"7382473689";"2022-02-21T10:44:32+0000";"6";"126";"3";"";""
"1";"143";"107";"7382473689_10160610781753690";"data";"data.*";"fetched (200)";"2022-02-22 00:50:53.507765";"Facebook:/<page-id>/posts";"Al Jazeera English";"7382473689";"2022-02-21T10:10:04+0000";"7";"162";"9";"";""
"1";"144";"107";"7382473689_10160610733043690";"data";"data.*";"fetched (200)";"2022-02-22 00:50:53.507765";"Facebook:/<page-id>/posts";"Al Jazeera English";"7382473689";"2022-02-21T09:17:03+0000";"664";"2728";"112";"";""
"1";"145";"107";"7382473689_10160610719268690";"data";"data.*";"fetched (200)";"2022-02-22 00:50:53.507765";"Facebook:/<page-id>/posts";"Al Jazeera English";"7382473689";"2022-02-21T09:00:17+0000";"6";"171";"9";"";""
"1";"146";"107";"7382473689_10160610689553690";"data";"data.*";"fetched (200)";"2022-02-22 00:50:53.507765";"Facebook:/<page-id>/posts";"Al Jazeera English";"7382473689";"2022-02-21T08:30:07+0000";"26";"700";"12";"";""
"1";"147";"107";"7382473689_10160610630943690";"data";"data.*";"fetched (200)";"2022-02-22 00:50:53.507765";"Facebook:/<page-id>/posts";"Al Jazeera English";"7382473689";"2022-02-21T07:38:58+0000";"443";"2196";"62";"";""
"1";"148";"107";"7382473689_10160610614293690";"data";"data.*";"fetched (200)";"2022-02-22 00:50:53.507765";"Facebook:/<page-id>/posts";"Al Jazeera English";"7382473689";"2022-02-21T07:23:40+0000";"90";"1928";"67";"";""
"1";"149";"107";"aljazeera";"offcut";"";"fetched (200)";"2022-02-22 00:50:53.507765";"Facebook:/<page-id>/posts";"";"";"";"";"";"";"";""
