"level";"id";"parent_id";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"message";"created_time";"like_count";"comment_count";"shares";"reactions";"like";"love";"haha";"wow";"sad";"angry"
"0";"1";"None";"ExpressZeitung";"seed";"";"";"None";"None";"";"";"";"";"";"";"";"";"";"";"";""
"1";"2";"1";"1378045312483970_2944879145800571";"data";"data.*";"fetched (200)";"2021-03-18 13:44:38.587095";"Facebook:/<page-id>/posts";"Wir haben jetzt einen Podcast!  🎙Redaktionssitzung #1: Impfschäden, Medien und Scripted Reality (EZ Podcast)  https://open.lbry.com/@ExpressZeitung:8/Redaktionssitzung-1:7?r=7eno8jRLGsLYLbJX4sbJX4fUw82ooVCg  Wir werden zukünftig 1x pro Woche einen Podcast aufnehmen und über aktuelle oder drängende Themen unterhalten, Perspektiven austauschen usw. und auf LBRY hochladen.  Die erste Folge (sozusagen die Pilotfolge) gibt es auch auf Telegram: https://t.me/ExpressZeitung/7681  Zukünftige Podcasts auf: https://lbry.tv/$/invite/@ExpressZeitung:8  🎧 Audio: https://t.me/ExpressZeitung/7682  https://open.lbry.com/@ExpressZeitung:8/Redaktionssitzung-1:7?r=7eno8jRLGsLYLbJX4sbJX4fUw82ooVCg";"2021-03-06T10:44:20+0000";"";"";"";"23";"23";"0";"0";"0";"0";"0"
"1";"3";"1";"1378045312483970_2939142349707584";"data";"data.*";"fetched (200)";"2021-03-18 13:44:38.587095";"Facebook:/<page-id>/posts";"«Wir sind im Bereich der Mutmassung. Es werden Grundrechte eingeschränkt, ohne dass wir eigentlich genau verwertbare Zahlen haben. Als Wissenschaftler und als Bürger halte ich das für ein Unding, dass wir ohne eine feste Zahlenbasis zu solchen Einschränkungen schreiten. […] Diese Zahlen sind das Papier nicht wert, auf dem sie geschrieben sind. […] Diese Zahlen sind nichts wert.»  Aus unserer neuen Ausgabe Nr. 38: 🗞 AIDS als Blaupause für Corona - Der Mythos vom Todes-Virus https://shop.expresszeitung.com/shop/shop/alle-ausgaben/ausgabe_38.html?atid=313  📬 ExpressZeitung abonnieren https://shop.expresszeitung.com/shop/shop/abos.html?atid=313  Folgen Sie uns auf Telegram: https://t.me/ExpressZeitung";"2021-02-26T08:42:56+0000";"";"";"";"140";"129";"0";"6";"1";"1";"3"
"1";"4";"1";"1378045312483970_2938623146426171";"data";"data.*";"fetched (200)";"2021-03-18 13:44:38.587095";"Facebook:/<page-id>/posts";"AIDS als Blaupause für Corona - Der Mythos vom Todes-Virus  Zwar fegten laut unseren Medienorganen, Politikern und Virologen in den letzten Jahrzehnten schon Dutzende scheinbare Seuchen über die Erde, doch nur zwei von ihnen waren gekommen, um zu bleiben: «AIDS» und «Corona». Bei ihnen wurde die Panik-getränkte Berichterstattung nicht abgebrochen und sie fanden Eingang in den menschlichen Alltag, wurden zum Teil des Lebens und der Kultur. Sie prägten den Zeitgeist einer ganzen Generation. Das Fatale daran: Tatsächlich stimmt von dem, was die Öffentlichkeit über die vermeintlich so gut erforschten «HI-» und «Corona-Viren» zu wissen glaubt, so gut wie nichts! Dabei erweist sich der «AIDS»-Mythos als Grundlage für das, was wir heute mit «COVID-19» erleben. Sogar Bill Gates sprach davon, «wie HIV/AIDS uns auf den Kampf gegen COVID-19 vorbereitet hat».  🗞 AIDS als Blaupause für Corona - Der Mythos vom Todes-Virus https://shop.expresszeitung.com/.../ausgabe_38.html...  📬 ExpressZeitung abonnieren https://shop.expresszeitung.com/shop/shop/abos.html?atid=313  Folgen Sie uns zu Telegram Facebook ist eine für Alternativen Medien, abweichende Meinungen und missliebige Informationen sterbende Plattform, die immer irrelevanter wird - zurecht! Folgen Sie uns auf Telegram, wo wir täglich aktiv sind und unzensierte Beiträge zu aktuellen Geschehnissen schreiben: https://t.me/ExpressZeitung";"2021-02-25T14:16:28+0000";"";"";"";"121";"118";"0";"0";"2";"0";"1"
"1";"5";"1";"1378045312483970_2938618826426603";"data";"data.*";"fetched (200)";"2021-03-18 13:44:38.587095";"Facebook:/<page-id>/posts";"«AIDS» und «Corona»: Alter Wein in neuen Schläuchen  Allein seit dem Jahr 2000 fegten viele scheinbare Seuchen über die Erde: «SARS» 2003, die «Schweinegrippe» 2009, «MERS» 2012, «Ebola» 2014, «Zika» 2016. Am Ende entpuppten sich all die hier genannten «Infektionskrankheiten » sogar ganz offiziell als hohle Luftnummern und billige Panik-Mache. Nachdem die Pharma-Industrie durch Medikamenten- oder Impfstoff-Verkäufe ihren Reibach eingestrichen hatte, war das «Virus» plötzlich kein Thema mehr. Die grossen Medienhäuser beendeten die angsterzeugenden Berichterstattungen, und sowie die «Krankheiten» aus den Schlagzeilen verschwunden waren, verschwanden sie auch aus dem öffentlichen Interesse – meist für immer...  Hier weiterlesen: https://www.expresszeitung.com/gesundheit/aids-als-blaupause-fuer-corona  Folgen Sie uns zu Telegram Facebook ist eine für Alternativen Medien, abweichende Meinungen und missliebige Informationen sterbende Plattform, die immer irrelevanter wird - zurecht! Folgen Sie uns auf Telegram, wo wir täglich aktiv sind und unzensierte Beiträge zu aktuellen Geschehnissen schreiben: https://t.me/ExpressZeitung";"2021-02-25T14:09:30+0000";"";"";"";"47";"44";"0";"0";"3";"0";"0"
"1";"6";"1";"1378045312483970_2938043249817494";"data";"data.*";"fetched (200)";"2021-03-18 13:44:38.587095";"Facebook:/<page-id>/posts";"Zum Weiterreichen und selbst lesen: Der Inhalt der neuen ExpressZeitung  🗞 AIDS als Blaupause für Corona - Der Mythos vom Todes-Virus https://shop.expresszeitung.com/shop/shop/alle-ausgaben/ausgabe_38.html?atid=313  📬 ExpressZeitung abonnieren https://shop.expresszeitung.com/shop/shop/abos.html?atid=313  Facebook ist eine für Alternativen Medien, abweichende Meinungen und missliebige Informationen sterbende Plattform, die immer irrelevanter wird - zurecht! Folgen Sie uns auf Telegram, wo wir täglich aktiv sind und unzensierte Beiträge zu aktuellen Geschehnissen schreiben: https://t.me/ExpressZeitung";"2021-02-24T17:16:16+0000";"";"";"";"40";"37";"0";"0";"3";"0";"0"
"1";"7";"1";"1378045312483970_2936751053280047";"data";"data.*";"fetched (200)";"2021-03-18 13:44:38.587095";"Facebook:/<page-id>/posts";"AIDS als Blaupause für Corona? (Teil 1)  Unsere neue Ausgabe erscheint diese Woche. Sie können sie schon jetzt hier bestellen: https://shop.expresszeitung.com/shop/shop/alle-ausgaben/ausgabe_38.html?atid=313  Mit einem Jahres-Abo unterstützen Sie unsere werbefreie, systemkritische und unabhängige ExpressZeitung: https://shop.expresszeitung.com/shop/shop/abos.html?atid=313  Folgen Sie uns zu Telegram Facebook ist eine für Alternativen Medien, abweichende Meinungen und missliebige Informationen sterbende Plattform, die immer irrelevanter wird - zurecht! Folgen Sie uns auf Telegram, wo wir täglich aktiv sind und unzensierte Beiträge zu aktuellen Geschehnissen schreiben: https://t.me/ExpressZeitung";"2021-02-22T20:29:36+0000";"";"";"";"88";"88";"0";"0";"0";"0";"0"
"1";"8";"1";"1378045312483970_2912564292365390";"data";"data.*";"fetched (200)";"2021-03-18 13:44:38.587095";"Facebook:/<page-id>/posts";"Aids - eine Jahrhundertseuche oder Jahrhundertlüge?  Was die Weltbevölkerung seit 2020 mit Corona erlebt, ruft bei Einigen ein Déjà-Vu hervor. Denn in/ab den 80ern wurde ein sehr ähnliches Spiel mit AIDS betrieben, das bis heute nachwirkt. In unserer neuen Ausgabe beschäftigen wir uns mit diesem Thema, das den Meisten gar nicht in den Sinn kommt, zu bezweifeln.   🗞 Aids - eine Jahrhundertseuche oder Jahrhundertlüge? https://shop.expresszeitung.com/shop/shop/alle-ausgaben/ausgabe_37.html?atid=313  📬 ExpressZeitung abonnieren (8x/Jahr  unabhängige Systemkritik aus der Schweiz) https://shop.expresszeitung.com/shop/shop/abos.html?atid=313)  Die Autoren von Virus-Wahn waren uns dabei eine große Hilfe. Das Buch erscheint demnächst in einer Neuauflage:  https://www.torstenengelbrecht.com/buecher/virus-wahn/  Folgen Sie uns zu Telegram Facebook ist eine für Alternativen Medien, abweichende Meinungen und missliebige Informationen sterbende Plattform, die immer irrelevanter wird - zurecht! Folgen Sie uns auf Telegram, wo wir täglich aktiv sind und unzensierte Beiträge zu aktuellen Geschehnissen schreiben: https://t.me/ExpressZeitung";"2021-01-20T11:10:47+0000";"";"";"";"150";"140";"0";"2";"8";"0";"0"
"1";"9";"1";"1378045312483970_2907278412893978";"data";"data.*";"fetched (200)";"2021-03-18 13:44:38.587095";"Facebook:/<page-id>/posts";"Corona-Folgeschäden auf dem Prüfstand. Ist die Behandlung schuld?  Immer wieder hört und liest man über die Folgeschäden von Covid-19. Doch handelt es sich dabei um ein neues Phänomen? Und sind die Symptome, unter denen die Patienten leiden, wirklich zweifellos auf Corona zurückzuführen?  https://open.lbry.com/@ExpressZeitung:8/Folgeschäden:9?r=7eno8jRLGsLYLbJX4sbJX4fUw82ooVCg";"2021-01-13T10:47:14+0000";"";"";"";"72";"64";"0";"5";"1";"1";"1"
"1";"10";"1";"1378045312483970_2901874250101061";"data";"data.*";"fetched (200)";"2021-03-18 13:44:38.587095";"Facebook:/<page-id>/posts";"Die richtige Impfentscheidung treffen  Damals haben wir uns schon kritisch mit Impfungen auseinander gesetzt. Das sind die Grundbedingungen - fällt eine davon weg, ist von der Impfung abzuraten.   Im heutigen Kontext ist es besonders erstaunlich, denn bei den Covid-Impfungen fallen alle Beine des Hockers weg.   Die Impfung, mit der Bürger auf der ganzen Welt erpresst werden ist..  ..nicht wirksam 🚫 .. nicht sicher 🚫 ..nicht notwendig 🚫  Auch abseits der kommenden Corona-Impfungen ist diese Ausgabe lesenswert, da sie sich grundlegend mit dem Thema auseinander setzt:   🗞 Impfen als Fortschrittsdogma einer modernen Gesellschaft?  https://shop.expresszeitung.com/shop/shop/alle-ausgaben/ausgabe-18.html?atid=313";"2021-01-06T12:55:14+0000";"";"";"";"129";"128";"1";"0";"0";"0";"0"
